Código;GT;Autores;Instituciones
0782 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1María Mancilla Garcia; 1Jacob Hileman";1 - Stockholm Resilience Centre
0783 ;26. Sociología de los Cuerpos y las Emociones;1Gabriela Delsignore;1 - Universidad de Zaragoza
0784 ;18. Salud y Seguridad Social;1Pilar Rocío Diez Yensen;1 - Universidad Diego Portales
0786 ;24. Sociología de la Educación y Políticas Educativas;"1Hilda Ruby Vizcarra Rebolledo; 2Liliana Bravo Pemjeam";1 - Pontificia Universidad Católica de Chile, 2 - universidad alberto hurtado
0787 ;19. Acciones Colectivas y Movimientos Sociales;1Ana Helena Treviño Carrillo;1 - UACM
0788 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Ângela Kerley Pereira Lima; 1Samara Souza Maciel";1 - UFCA
0789 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Jorge Hernández-Martínez;"1 - CEHSEU-UH y Grupo de Trabajo ""Estudios sobre Estados Unidos"" de CLACSO"
0790 ;24. Sociología de la Educación y Políticas Educativas;"1Adalberto Carvalho Ribeiro; 1Sirliane Da Costa Viana";1 - Universidade Federal do Amapá (UNIFAP)
0791 ;26. Sociología de los Cuerpos y las Emociones;1Débora Cerutti;1 - Centro de Estudios Avanzados
0792 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Agatha Muller De Carvalho;1 - Grupo de Pesquisa Identidade e Território
0793 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Teresa Mc Kelligan;1 - UACM
0795 ;17. Trabajo y Restructuración Productiva;1Maria Alejandra Sorolla;1 - Universidad del Salvador
0796 ;08. Desigualdad, Pobreza y Exclusión Social;"1Reidy Rolim De Moura Reidy; 1Camila Sopko Camila";1 - UEPG
0797 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Jessica Nohemi Alvarez Paz;1 - Universidad de Guanajuato, Campus León
0798 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Maria Rosa Diez De Ulzurrun; 1Laura Fabiana Rodriguez";1 - INDEC
0799 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Leonardo Daniel Altmann Macchio;1 - Instituto de Teoría de la Arquitectura y Urbanismo - ITU- FADU- UDELAR
0800 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Ailen Suyai Pereyra; 2Cecilia Mercedes Quevedo";1 - Instituto de Investigación y Formación en Administración Pública (IIFAP). Secretaría de Ciencia y Tecnología- Universidad Nacional de Córdoba, 2 - INSTITUTO ACADEMICO PEDAGOGICO DE CS.SOCIALES - [UNVM] UNIVERSIDAD NACIONAL DE VILLA MARIA - CONICET
0801 ;08. Desigualdad, Pobreza y Exclusión Social;"1Natalia Isabel D'angelo; 1Yengy Marisol Silva Laya";1 - Universidad Iberoamericana
0802 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Yengny Marisol Silva Laya;1 - Universidad Iberoamericana
0803 ;22. Sociología del Ocio y el Deporte;"1Gustavo Andrada Bandeira; 2Verónica Moreira";1 - UFRGS, 2 - UBA
0804 ;26. Sociología de los Cuerpos y las Emociones;1Juanita Marín Hernández;1 - Universidad Nacional de Colombia
0805 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Nicolas Aliano;1 - UNSAM - CONICET
0806 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Fabiola Olvera;1 - Universidad Iberoamericana
0807 ;17. Trabajo y Restructuración Productiva;1Gill Lorena;1 - UFPel
0808 ;26. Sociología de los Cuerpos y las Emociones;1Horacio Antonio Pereyra;1 - Instituto de estudios para el desarrollo social (INDES), Universidad Nacional de Santiago del Estero (UNSE), Argentina
0809 ;24. Sociología de la Educación y Políticas Educativas;1Ricardo Steven Cardona Calderón;1 - Universidad de Antioquia
0810 ;19. Acciones Colectivas y Movimientos Sociales;"1Janini Silva; 1Kátia Cunha";1 - UFPE/CAA
0811 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Sérgio Roberto Moraes Corrêa Corrêa; 2Roberto Verás De Oliveira";1 - Universidade do Estado do Pará, 2 - Universidade Federal da Paraíba
0812 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Leite Elaine; 1Brincker Tanise";1 - UFPel
0813 ;25. Integración Regional, Geopolítica y Desarrollo;"1Leite Elaine; 1Spolle Marcus";1 - UFPel
0814 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Carolina Rosas;1 - IIGG UBA - CONICET
0815 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Fabiana Garcia;1 - INTA
0816 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Iani Panait;1 - Pontifícia Universidade Católica do Rio de Janeiro
0817 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Fernanda De Lima Moreira; 1Marcelo Nunes Apolinário";1 - Universidade Federal de Pelotas
0818 ;08. Desigualdad, Pobreza y Exclusión Social;1Luiz Augusto Silva Ventura Do Nascimento;1 - Universidade Estadual de Londrina (UEL)
0819 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Patricia Ferreira Dos Santos; 2Ângela K. P. Lima; 1Leandro De Barros Santos";1 - FACHUSC, 2 - UFCA
0820 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Daisy Margarit; 2Olaya Grau";1 - Universidad de Santiago USACH, 2 - Universidad Central
0821 ;24. Sociología de la Educación y Políticas Educativas;"1Yolanda Rodriguez; 1Sandra Azañedo";1 - Pontificia Universidad Católica del Perú
0822 ;12. sociología de la cultura, arte e interculturalidad;1Luis Ernesto Solano Becerril;1 - Universidad Autónoma de Aguascalientes
0823 ;22. Sociología del Ocio y el Deporte;1Guillermo Humberto Villar Lea;1 - Universidad Arturo Prat
0824 ;24. Sociología de la Educación y Políticas Educativas;1Victoria Cardemil Fuentes;1 - UNAP
0825 ;19. Acciones Colectivas y Movimientos Sociales;1Amy Karey Téllez Miramontes;1 - Universidad Anáhuac
0826 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Luisa Maria Lazo;1 - Universidad de Costa Rica
0827 ;17. Trabajo y Restructuración Productiva;"1Luciano Messina Pereira Da Silva Luciano Messina; 1Roberta Cristina Sawitzki Roberta Sawitzki; 1Carmem Lígia Iochins Grisci Carmem Grisci";1 - UFRGS
0828 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Adalmir Leonidio;1 - Universidade de São Paulo
0829 ;05. Desarrollo Rural y cuestión agraria;1Frederico Daia Firmiano;1 - Universidade do Estado de Minas Gerais, unidade Passos
0830 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Maria Graziele Bernardi Maria Graziele;1 - Universidade Estadual de Londrina
0831 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Andreia Farina De Faria; 1Maxmillian Lopes Da Silva; 2Marcela Mangucci Calil; 1Daisy Luzia do Nascimento Silva Caetano";1 - Instituto Federal de Goiás, 2 - Pontifícia Universidade Católica de Goiás
0832 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Silvana Nunes De Queiroz; 2Raíssa Marques Sampaio Sidrim";1 - Universidade Regional do Cariri (URCA), 2 - Universidade Federal do Rio Grande do Norte (UFRN)
0833 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Raíssa Sidrim; 2Silvana Queiroz";1 - Universidade Federal do Rio Grande do Norte - UFRN, 2 - Universidade Regional do Cariri - URCA
0836 ;13. Teoría Social y Pensamiento Latinoamericano;1Fabricio Pereira Da Silva;1 - UNIRIO
0837 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Manuel Ansaldo Roloff;1 - Independiente
0838 ;18. Salud y Seguridad Social;1Natacha Mateo;1 - Universidad Nacional de Mar del Plata
0839 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Teresa Herrera;1 - Universidad ORT Uruguay
0841 ;26. Sociología de los Cuerpos y las Emociones;1Rosario Ayala Villela;1 - Independiente
0842 ;20. Sociología de la Religión;1Andrés Uzeda Vásquez;1 - Facultad de Ciencias Sociales de la Universidad Mayor de San Simón
0843 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Maite De Cea Pé; 1Claudio Fuentes Saavedra; 1Berta Teitelboim Grinblat";1 - Universidad Diego Portales
0844 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Joaquín Eugenio Raviolo;1 - Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Facultad de Ciencias de la Comunicación (FCC) y Universidad Nacional de Córdoba (UNC)
0845 ;06. Imaginarios Sociales y Memoria;"1Ana María Inés Yzaguirre Hidalgo; 2Erick Alcántara Díaz";1 - PUCP, 2 - FLACSO
0846 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Catalina Arteaga Aguirre;1 - Universidad de Chile
0848 ;15. Metodología y Epistemología de las Ciencias Sociales;1Lucia Linsalata;1 - Instituto de Ciencias Sociales y Humanidades
0849 ;18. Salud y Seguridad Social;1Alfonsina Faya Robles;1 - INSERM
0850 ;05. Desarrollo Rural y cuestión agraria;1Fernando Saavedra Peláez;1 - FLACSO México
0851 ;08. Desigualdad, Pobreza y Exclusión Social;1Ariela Susana Micha;1 - CONICET-UNGS
0852 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1André Sales Dos Santos Cedro;1 - Universidade Federal de São Carlos
0854 ;12. sociología de la cultura, arte e interculturalidad;1Viviane Becker Narvaes;1 - Unirio/USP
0855 ;17. Trabajo y Restructuración Productiva;"1Robinson Henrique Scholz; 1Muriel Rodrigues Pacheco";1 - Centro Universitário La Salle - Unilasalle Canoas
0856 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Cristina Zackseski; 1Edi Alves De Oliveira Neto; 1Felipe Da Silva Freitas";1 - Universidade de Brasília
0857 ;06. Imaginarios Sociales y Memoria;1Fernando Klein Caballero;1 - Consejo de Formación en Educación
0859 ;01. Ciencia, Tecnologías e Innovación;1Tarcísio Fagner Aleixo Farias;1 - Instituto Federal de Alagoas
0860 ;25. Integración Regional, Geopolítica y Desarrollo;"1Miriam Sarmento Lima; 1Luciana Aparecida Bastos; 1Janete Leige Lopes";1 - UNESPAR
0861 ;26. Sociología de los Cuerpos y las Emociones;"1Ana Lia Rodrigues Da Silva; 1Daniela Correa Leite; 1Maria Luisa Jimenez Jimenez; 1Ângela Fontana Velho";1 - Universidade Federal de Mato Grosso UFMT
0862 ;18. Salud y Seguridad Social;"1Walter Fagoaga; 1Virginia Azucena Aguilar De Cruz";1 - IEPROES
0863 ;24. Sociología de la Educación y Políticas Educativas;1Angelo Dantas;1 - Universidade do Estado da Bahia
0864 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Michelle Cirne;1 - UNILAB
0866 ;15. Metodología y Epistemología de las Ciencias Sociales;1Santiago Peryou Gelsi;1 - Equipos Consultores
0867 ;18. Salud y Seguridad Social;1Diego Rodríguez Sendoya;1 - CIET Uruguay
0868 ;26. Sociología de los Cuerpos y las Emociones;1Lara Virgínia Saraiva Palmeira;1 - Prefeitura Municipal de Fortaleza
0870 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Rylanneive Leonardo Pontes Teixeira; 2Elizabete Cristina Dantas";1 - Universidade Federal do Rio Grande do Norte, 2 - Faculdade Estácio de Natal
0871 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Luziene Parnaíba;1 - Universidade Federal de Roraima
0873 ;06. Imaginarios Sociales y Memoria;1Fernanda López Franz;1 - UNSaM
0874 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Alexia Oliveira Barbieri;1 - Programa de Pós-Graduação em Antropologia Social/Universidade Federal do Rio Grande do Sul
0875 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Luziene Parnaíba;1 - Universidade Federal de Roraima-UFRR
0876 ;26. Sociología de los Cuerpos y las Emociones;"1Andreia Gaio; 1Silvana Maria Bitencourt";1 - Universidade Federal de Mato Grosso
0877 ;05. Desarrollo Rural y cuestión agraria;1Dalia Cortés Rivera;1 - Universidad Autónoma del Estado de Hidalgo
0878 ;12. sociología de la cultura, arte e interculturalidad;"1Tatiana Edith Vergara; 2Carlos Francisco Bauer";1 - UNCAUS-CONICET, 2 - UNILA-PTI
0879 ;24. Sociología de la Educación y Políticas Educativas;1Neusa Chaves Batista;1 - Universidade Federal do Rio Grande do Sul
0880 ;18. Salud y Seguridad Social;"1Liliana Findling; 1Paula Lehner; 1Estefanía Cirino; 1Laura Champalbert";1 - Instituto de Investigaciones Gino Germani - Facultad de Ciencias Sociales - Universidad de Buenos Aires
0881 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Aracely Rivera Cohen; 1Aarón Aurelio Grageda Bustamante";1 - Universidad de Sonora
0883 ;13. Teoría Social y Pensamiento Latinoamericano;1Natasha Bachini;1 - IESP-UERJ
0884 ;15. Metodología y Epistemología de las Ciencias Sociales;1Cecilia Zsögön;1 - Universidad Nacional de Misiones
0885 ;12. sociología de la cultura, arte e interculturalidad;"1Christian David Rodríguez Camargo; 1Tatiana Patricia Godoy Jiménez";1 - Centro de Alternativas al Desarrollo (CEALDES)
0886 ;06. Imaginarios Sociales y Memoria;1Paulo Henrique Martins Martins;1 - Universidad Federal de Pernambuco
0887 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Bruno Bruziguessi;1 - Universidade Federal de Juiz de Fora
0888 ;26. Sociología de los Cuerpos y las Emociones;1Ana Lucía Cervio;1 - CONICET- CICLOP-UBA/CIES
0889 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Ariel Hernán Farías; 1Julieta Cristina Lopez";1 - ICSE - UNTDF
0890 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Loreto De Los Angeles Arias Lagos; 1Juan Carlos Peña Axt";1 - Universidad Autónoma de Chile
0891 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Juliana Almeida;1 - Universidade Federal de Sergipe
0892 ;06. Imaginarios Sociales y Memoria;1Carolina Beatriz Wild;1 - Facultad de Ciencias de la Comunicación de la Universidad Nacional de Córdoba
0893 ;17. Trabajo y Restructuración Productiva;1Sofía Malleville;1 - Universidad Nacional de La Plata Facultad de Humanidades y Ciencias de la Educación
0894 ;13. Teoría Social y Pensamiento Latinoamericano;"1Enio Passiani; 2Gabriele Dos Anjos";1 - Universidade Federal do Rio Grande do Sul (UFRGS), 2 - Fundação de Economia e Estatística (FEE)
0895 ;12. sociología de la cultura, arte e interculturalidad;"1Gabriele Dos Anjos; 2Enio Passiani";1 - Fundação de Economia e Estatística (FEE), 2 - Universidade Federal do Rio Grande do Sul (UFRGS)
0897 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Felipe Vargas; 1Jalcione Almeida; 1Adriano Premebida";1 - UFRGS/PPG Sociologia
0899 ;13. Teoría Social y Pensamiento Latinoamericano;"1Janini Silva; 1Kátia Cunha";1 - UFPE/CAA
0900 ;19. Acciones Colectivas y Movimientos Sociales;"1Pablo Casillas; 1Norma Angélica Cortés";1 - Universidad de Guadalajara
0902 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Edson Abraham Gutiérrez Torres;1 - Universidad Autónoma Metropolitana
0903 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1André Scantimburgo;1 - UNESP
0905 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Noelia Del Valle Cisterna;1 - CITCA-CONICET
0906 ;05. Desarrollo Rural y cuestión agraria;1Francis Muñoz Calvo;1 - Universidad Estatal a Distancia
0907 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Patricia Nolasco Clemente;1 - Universidad de Colima
0908 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Host Alejandro Rodriguez Chávez;1 - UACJ
0909 ;24. Sociología de la Educación y Políticas Educativas;1Maria Elizabeth Varjal Medicis Pinto;1 - Universidade Federal de Pernambuco
0910 ;19. Acciones Colectivas y Movimientos Sociales;1Adrián Escobedo García;1 - Instituto de Ciencias Sociales y Administración
0911 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Luisa Rico Rosales;1 - Universidad de Guadalajara
0912 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Paula Velloso;1 - UFF
0913 ;17. Trabajo y Restructuración Productiva;1Nicolas Gomez;1 - Escuela de Sociologia UCEN
0914 ;13. Teoría Social y Pensamiento Latinoamericano;"1Lionel Eduardo Lewkow; 2Felipe Pérez-Solari; 3Sergio Pignuoli Ocampo";1 - Instituto de Investigaciones Gino Germani, Universidad de Buenos Aires, 2 - Forum Internationale Wissenschaft Rheinische Friedrich Wilhelm Universität Bonn, 3 - Conicet/Universidad de Buenos Aires, Instituto de Investigaciones Gino Germani
0915 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Thaysa Sonale Almeida Silva; 1Ricardo Carneiro; 1Flávia De Paula Duque Brasil";1 - Escola de Governo - Fundação João Pinheiro
0916 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Maria Cecilia Marengo; 2Alejandra Ochoa";1 - Universidad Nacional de Córdoba / CONICET, 2 - Universidad Nacional de Córdoba
0917 ;24. Sociología de la Educación y Políticas Educativas;"1Márcia Maciel De Campos; 1Arabela Campos Oliven";1 - Universidade Federal do Rio Grande do Sul
0918 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Flávia De Paula Duque Brasil; 1Ricardo Carneiro; 1Thaysa Sonale Almeida Silva; 1Isabela De Vasconcelos Teixeira; 1Rodolfo Pinhón Bechtlufft; 1Petter Isackson Maia";1 - Escola de Governo - Fundação João Pinheiro
0920 ;10. Estudios políticos, Sociojurídicos e Instituciones;"1Alvaro Barreto; 1Bruno Souza Garcia";1 - Universidade Federal de Pelotas
0921 ;06. Imaginarios Sociales y Memoria;"1María Belén Muñiz; 1Maria Soledad Shulze; 1David Santos";1 - Universidad Nacional de Mar del Plata
0922 ;17. Trabajo y Restructuración Productiva;"1Caroline Da Graça Jacques; 1Rafael Rodrigo Mueller";1 - Universidade do Extremo Sul Catarinense
0923 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Deborah Duarte Acquistapace;1 - Facultad de Humanidades. UDELAR
0924 ;26. Sociología de los Cuerpos y las Emociones;1Sosa Ruth;1 - Universidad Nacional de Rosario
0925 ;06. Imaginarios Sociales y Memoria;"1Gabriella Eldereti Machado; 1Valeska Fortes De Oliveira Fortes De Oliveira; 1Monique Da Silva; 1Adriele Machado Rodrigues";1 - Universidade Federal de Santa Maria
0927 ;05. Desarrollo Rural y cuestión agraria;1Edwin Sosa Cabrera;1 - Universidad Autónoma Chapingo
0928 ;17. Trabajo y Restructuración Productiva;1Marina Adamini;1 - IGEHCS-CONICET
0929 ;12. sociología de la cultura, arte e interculturalidad;1Lia Vieira Ramalho Bastos;1 - Universidade Federal Fluminense
0930 ;22. Sociología del Ocio y el Deporte;"1Patricia Alejandra García Valenzuela; 1Alicia Espinosa Renoult; 1Emanuel Vargas Diosdado; 1Ramón Peñaflor Jamaica";1 - Universidad de Celaya
0932 ;17. Trabajo y Restructuración Productiva;1Ruth Sosa;1 - Universidad Nacional de Rosario
0934 ;17. Trabajo y Restructuración Productiva;1A. Cristina Etchegorry;1 - Universidad Católica de Córdoba-Universidad Nacional de Córdoba
0935 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Pilar Fiuza;1 - CONICET/UBA
0936 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Carolina Cravero; 1Pedro Rodolfo Bode De Moraes";1 - Pós-graduação em sociologia UFPR/CESPDH Brasil
0937 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Mariana Paola Vila; 2María Celeste Rosso";1 - Instituto de Investigaciones en Humanidades y Ciencias Sociales (IdIHCS) de la Facultad de Humanidades y Ciencias de la Educación, (UNLP-CONICET)., 2 - Becaria de investigación AGENCIA-CONICET.
0938 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Natália Otto;1 - Universidade de São Paulo
0939 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Antonio Marcos De Sousa Silva;1 - Universidade da Integração Internacional da Lusofonia Afro Brasileira
0940 ;08. Desigualdad, Pobreza y Exclusión Social;1Fabrício Maciel;1 - Universidade Federal Fluminense
0941 ;17. Trabajo y Restructuración Productiva;1Dasten Alfonso Julian Vejar;1 - Universidad Catolica de Temuco
0942 ;13. Teoría Social y Pensamiento Latinoamericano;1Andrés Pereira Covarrubias;1 - Universidad de Chile
0943 ;05. Desarrollo Rural y cuestión agraria;1Diana Andrea Sotelo;1 - UNNE- INTA
0944 ;17. Trabajo y Restructuración Productiva;1Henrique Amorim;1 - Universidade Federal de São Paulo (UNIFESP)
0945 ;18. Salud y Seguridad Social;1Jimena Luz Coniglio;1 - Universidad Nacional de La Plata
0946 ;08. Desigualdad, Pobreza y Exclusión Social;1Camila Faria Pançardes;1 - Universidade Federal Fluminense
0947 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Juan Francisco Acevedo Godinez;1 - Pontificia Universidad Católica del Perú
0948 ;18. Salud y Seguridad Social;1Laura Schenquer;1 - CESIL/UNL-CONICET
0949 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Lígia Madeira; 1Leonardo Geliski";1 - UFRGS
0950 ;22. Sociología del Ocio y el Deporte;1Alejandro Damian Rodriguez;1 - CIS-IDES-CONICET
0951 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Lázaro De Jesús González Álvarez;1 - El Colegio de México
0952 ;15. Metodología y Epistemología de las Ciencias Sociales;1Leonardo Nascimento;1 - UNILAB/PPGCS-UFBA
0955 ;05. Desarrollo Rural y cuestión agraria;1José Barriga Parra;1 - Ruta de las Semillas
0956 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Norma Baca Tavira; 1Ana Elizabeth Jardón Hernández; 1Ricardo Monroy Sánchez";1 - Universidad Autónoma del Estado de México
0957 ;19. Acciones Colectivas y Movimientos Sociales;1Natasha Bachini Pereira;1 - IESP-UERJ
0960 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Diana Valdez Nieto;1 - Universidad de Guadalajara
0961 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1María Del Pilar Hernández Limonchi; 1Luz Marina Ibarra Uribe";1 - Universidad Autónoma del Estado de Morelos
0962 ;05. Desarrollo Rural y cuestión agraria;1Juan Carlos Torres Cervantes;1 - Universidad de Guadalajara
0963 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Luz Marina Ibarra Uribe; 1María Del Pilar Hernández Limonchi";1 - Universidad Autónoma del Estado de Morelos
0964 ;24. Sociología de la Educación y Políticas Educativas;1Francisca Natalia Mena Vergara;1 - Universidad de Valparaíso
0965 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Andrea Fernández;1 - FCS
0966 ;08. Desigualdad, Pobreza y Exclusión Social;"1María Carolina Bulloni; 2Beatriz Curtino";1 - Facultad de Humanidades y Ciencias Sociales-Universidad Nacional de Misiones, 2 - Universidad Nacional de Misiones
0967 ;05. Desarrollo Rural y cuestión agraria;"1Mercedes Ejarque; 2Bruno Aiani";1 - CONICET IIGG-UBA, 2 - IIGG-UBA
0968 ;08. Desigualdad, Pobreza y Exclusión Social;"1Lorene Camargo; 1Jussara Ayres Bourguignon";1 - Universidade Estadual de Ponta Grossa
0970 ;05. Desarrollo Rural y cuestión agraria;1Luiz Carlos De Carvalho Júnior;1 - Universidade Federal de Santa Catarina
0971 ;01. Ciencia, Tecnologías e Innovación;"1Claudia Isabel Ortiz; 1Silvina Andrea Cuello; 1César Rogelio Zuccarino";1 - Facultad de Ciencias de la Comunicación Universidad Nacional de Córdoba
0973 ;26. Sociología de los Cuerpos y las Emociones;1Camila Pimentel;1 - FIOCRUZ Pernambuco
0974 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1María Da Gloria Marroni;1 - BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
0975 ;01. Ciencia, Tecnologías e Innovación;1Blanca Araceli Borja Rodríguez;1 - Posgrado de la Facultad de Economía, UNAM
0976 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Karina Cecilia Ferrando; 1Olga Haydee Paez; 2Rafael Omar Cura";1 - UTN-FRA, 2 - UTN-FRBB
0977 ;Panel;"1Daisy Del Rosario Iturrieta Henriquez; 2Carolina Morales Borrero; 3María Del Carmen Suárez Solana; 3Sandra Concepción Gallegos Lecona; 3Luisa Fernanda Delgado Martínez; 3Adriana González Delgado; 3Carolina Teleboin Henrion";1 - Universidad de Valparaíso, 2 - Universidad Nacional de Colombia, 3 - Universidad Autónoma Metropolitana
0978 ;20. Sociología de la Religión;"1André Ricardo De Souza; 2Edin Sued Abumanssur; 1Jorge Leite Junior";1 - UFSCar, 2 - PUC-SP
0979 ;19. Acciones Colectivas y Movimientos Sociales;1Carla Giannina Acosta Navarro;1 - Pontificia Universidad Católica del Perú
0981 ;24. Sociología de la Educación y Políticas Educativas;1Karina Cecilia Ferrando;1 - UTN-FRA
0982 ;13. Teoría Social y Pensamiento Latinoamericano;1Maria Thereza Ribeiro;1 - Universidade Federal de Pelotas
0983 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Paula Nathalia Castillo Acosta;1 - Universidad Santo Tomás
0984 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Carlos Francisco Baca Feldman;1 - Universidad Iberoamericana Puebla
0985 ;25. Integración Regional, Geopolítica y Desarrollo;1Diego Hernandez;1 - UDELAR
0986 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Sergio Fiedler Flores;1 - Universidad de Playa Ancha
0987 ;26. Sociología de los Cuerpos y las Emociones;1Ernesto Antonio Zarco Ortiz;1 - Doctorado en Estudios Regionales de la Universidad Autónoma de Chiapas
0988 ;17. Trabajo y Restructuración Productiva;"1Maria Chalfin Coutinho; 2Geruza Tavares D´Ávila; 1Marcelo Augusto De Morais; 1Tielly Rosado Maders";1 - UFSC, 2 - UFRRJ
0989 ;24. Sociología de la Educación y Políticas Educativas;1Jerson Del Rosario;1 - UNIVERSITY OF LEICESTER
0990 ;07. Desarrollo Territorial, Desigualdades y descentralización;"1Nayla Bosch; 2Rocio Drabenche; 2Farid Murzone";1 - Universidad de Buenos Aires (U.B.A) - Universidad Nacional de La Plata (UNL.P), 2 - Universidad de Buenos Aires (U.B.A)
0991 ;26. Sociología de los Cuerpos y las Emociones;"1Maria Chalfin Coutinho; 1Giulia Oliva Grassi; 1Liandra Savanhago; 1Camila Trindade";1 - UFSC
0992 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Juan Dukuen;1 - CIS-CONICET/IDES
0993 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Dunia Eduvijes Jara Solenzar; 1Maylen Villamañan Alba; 2Silvio Alejandro Alcivar Molina";1 - Universidad Central Marta Abreu de Las Villas, 2 - Universidad Técnica de Manabí
0994 ;06. Imaginarios Sociales y Memoria;"1Maylen Villamañan Alba; 1Dunia Eduvijes Jara Solenzar; 2Marisa Fefermann";1 - Universidad Central Marta Abreu de Las Villas, 2 - Instituto de Saúde
0995 ;24. Sociología de la Educación y Políticas Educativas;1Guillermo Pérez Gomar Brescia;1 - Consejo de Formación en Educación/ANEP
0996 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Carlos Vargas Loáiciga;1 - Universidad Nacional
0997 ;24. Sociología de la Educación y Políticas Educativas;1Daniel Hernández Rosete;1 - Departamento de Investigaciones Educativas del Cinvestav
0999 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Eduardo Rodríguez Rocha;1 - CIECS-CONICET
1000 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1María Josefina Paviotti;1 - Universidad Nacional del Litoral
